"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"PYN","PIMCO New York Municipal Income Fund III","11.05","62863593.65","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/pyn",
"RCS","PIMCO Strategic Income Fund, Inc.","9.99","420735493.35","n/a","1994","n/a","n/a","http://www.nasdaq.com/symbol/rcs",
"PF","Pinnacle Foods, Inc.","50.01","5899942202.49","n/a","2013","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/pf",
"PNW","Pinnacle West Capital Corporation","73.95","8221374389.4","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/pnw",
"PES","Pioneer Energy Services Corp.","3.75","244019647.5","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pes",
"PHD","Pioneer Floating Rate Trust","11.46","283499474.04","n/a","2004","n/a","n/a","http://www.nasdaq.com/symbol/phd",
"PHT","Pioneer High Income Trust","10.41","301912142.07","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pht",
"MAV","Pioneer Municipal High Income Advantage Trust","13.01","309936046.09","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mav",
"MHI","Pioneer Municipal High Income Trust","13.39","304469586.2","n/a","2003","n/a","n/a","http://www.nasdaq.com/symbol/mhi",
"PXD","Pioneer Natural Resources Company","180.6","30631182586.2","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pxd",
"PJC","Piper Jaffray Companies","45.5","692273036","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/pjc",
"PBI","Pitney Bowes Inc.","17.78","3299787426.32","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/pbi",
"PBI^B","Pitney Bowes Inc.","26.67","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pbi^b",
"PJT","PJT Partners Inc.","24.1","432998867.8","n/a","2015","Finance","Investment Managers","http://www.nasdaq.com/symbol/pjt",
"PAA","Plains All American Pipeline, L.P.","28.04","11152537853.12","n/a","1998","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/paa",
"PAGP","Plains Group Holdings, L.P.","11.85","7394709569.4","n/a","2013","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/pagp",
"PLNT","Planet Fitness, Inc.","20.11","1982221564.39","n/a","2015","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/plnt",
"PLT","Plantronics, Inc.","49.64","1647311540.96","n/a","1994","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/plt",
"PAH","Platform Specialty Products Corporation","9.2","2112294663.2","n/a","2014","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/pah",
"PHI","PLDT Inc.","37.81","8166960000","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/phi",
"PGEM","Ply Gem Holdings, Inc.","13.41","914371256.16","n/a","2013","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/pgem",
"PNC","PNC Financial Services Group, Inc. (The)","89.92","44187509329.28","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/pnc",
"PNC.WS","PNC Financial Services Group, Inc. (The)","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pnc.ws",
